feature_1,feature_2,feature_3,feature_4,feature_5,species
0.37838587659544576,0.7059589008269443,0.28507347528059823,0.4377685939889161,0.64345910565967,cat
0.5457084220898687,0.01664706475444888,0.09223951836585875,0.4681989327701318,0.011873114367224158,dog
0.9669195604198956,0.17032339704794253,0.292345502641578,0.8962996868859421,0.34781541706977004,dog
0.3130392917893926,0.9922738702951533,0.5746001576210115,0.1227471041836945,0.7172817301553652,cat
0.2761362693104428,0.8180337236474402,0.8443527144277172,0.9814741821771344,0.7613951755780205,cat
0.961455507531278,0.9262303323245943,0.9675749504457666,0.21372938708297495,0.3922005729397896,dog
0.14313010959146055,0.9453089147588614,0.0603144274457913,0.7831094215287109,0.11087793908094801,dog
0.11265676100860822,0.8246393601122674,0.7195610254851257,0.13472021845530868,0.9223492194670527,dog
0.011055440025134922,0.26445956254056346,0.8127928649163917,0.1585706653143315,0.9346778570714299,cat
0.5624123160627301,0.49496517129595097,0.16100455544594683,0.03030221297629354,0.9727832815106641,dog
0.9560808286317456,0.766367859726506,0.9377245307348332,0.1284599476465036,0.8576697770025644,dog
0.6498813699774068,0.2840051233292257,0.42760791990626534,0.26656019556639365,0.85379345163879,cat
0.20163494859089703,0.44498006827632486,0.3910514069973159,0.8399936601111532,0.9822750771184294,cat
0.035074753861979446,0.16988804215360664,0.2391879863032319,0.08148069723606932,0.32149030907672593,dog
0.34693674754602444,0.07258935395693433,0.1788153170026313,0.5313383569430207,0.34481794289786294,cat
0.45188667791225934,0.8225170816549014,0.20646460483182083,0.6043201575933763,0.12423178471889551,dog
0.6912234686030538,0.16208256045191394,0.8914452955898958,0.9449756489319112,0.47952578124301193,dog
0.38542310913534084,0.30145754090845656,0.6860368117677972,0.35934440774329,0.16213658660621355,dog
0.20811553360150503,0.6100159612191547,0.15233035162820374,0.8453206749380642,0.26004577539615403,cat
0.42031075434938736,0.13542222014283845,0.9714932794670885,0.13694982581125115,0.1635502396451871,cat
0.5154899190672071,0.08721764299410961,0.322766593748949,0.5085052041553852,0.9845253611035736,cat
0.6217279045835638,0.9888312449858587,0.0804148271758065,0.5111856420915475,0.9197775178605143,dog
0.8419678975652434,0.6855534847392047,0.8381940334677425,0.601000950522414,0.985929045430819,dog
